COMP_K,COMP_R,COMP_RHKMFWY,COMP_RHKM,MAXSW20_COMP_RHKMFWY,MAXSW20_COMP_RHKM,AVG_DNA_IDX,AVG_RNA_IDX,AVG_DRNA_IDX,MAXSW15_AVG_RNA_IDX,Class
0.19219,0.49548000000000003,0.49953000000000003,0.41878000000000004,0.5,?,?,?,?,0.47628000000000004,Yes
?,0.2717,0.5021800000000001,0.34889000000000003,0.57143,?,?,0.45795,0.5170100000000001,?,Yes
0.14733,0.33044,?,0.36841,0.64286,0.46667,0.45693,?,0.43172,0.50449,No
0.27308000000000004,0.15488,?,0.38719000000000003,0.57143,?,0.36146999999999996,?,0.35622,0.39487,No
0.17479,0.22832,?,?,0.5,0.4,0.44701,0.39889,0.42623999999999995,0.38269000000000003,No
?,0.2356,?,0.37856,0.57143,0.53333,0.50893,0.39832,0.45982,0.47821,No
0.22718000000000002,0.21085,0.5298,?,0.42857,?,0.4816,0.39449,?,0.33333,No
0.24727,0.15299000000000001,0.57101,0.31293000000000004,?,?,?,0.39454,0.46501000000000003,0.32244,No
?,0.23,?,0.3194,0.57143,?,?,0.392,?,0.38974000000000003,No
0.27121999999999996,0.23585,0.55525,0.43754,0.78571,0.6,0.49611000000000005,0.42163,0.46345,0.45192,Yes
0.23399,?,0.54484,?,?,?,?,?,0.44727,0.55385,No
?,?,0.35943,0.26463000000000003,0.28570999999999996,0.26666999999999996,0.42185,0.32442,0.37851999999999997,?,No
0.31156999999999996,?,0.54772,0.42957,0.57143,0.33333,0.43672,?,0.40995,0.30385,No
?,0.2436,0.43856000000000006,?,0.5,0.33333,?,0.39311999999999997,0.44214,?,No
0.15156,0.26397,0.48765,0.37689,0.57143,0.46667,0.45577,0.40694,0.43471000000000004,?,No
0.28828000000000004,0.27747,0.64317,?,0.64286,?,?,?,?,0.42051000000000005,No
0.22473,0.2266,0.39671,0.31984,0.57143,0.46667,0.43103,0.29833000000000004,0.37163,?,No
0.06884,0.20135,?,0.20378,?,0.26666999999999996,0.44004,0.35235,0.4012,0.36025999999999997,No
0.16484000000000001,0.27199,0.4715,0.33862,?,?,0.44123999999999997,0.39686,0.42216000000000004,0.42949,No
0.25467,0.12120999999999998,0.58539,0.30859000000000003,0.57143,0.4,0.51069,0.35541,?,0.28781999999999996,No
0.12414000000000001,?,?,?,0.64286,0.4,?,0.44117,0.50358,0.40576999999999996,No
0.16421,?,0.44547,0.39954,0.5,0.53333,0.42555,?,0.41431,0.47563999999999995,No
0.023969999999999998,0.38556,0.34379,0.28017,0.42857,?,?,0.37648000000000004,?,0.40576999999999996,No
0.30937,?,0.53771,0.39043,0.57143,0.46667,0.46121999999999996,0.40734000000000004,?,?,No
0.17989000000000002,?,?,?,0.64286,0.46667,?,0.46548999999999996,0.51244,?,No
0.12044,?,0.46493999999999996,0.39924,0.57143,?,0.4332,0.35781999999999997,0.39996,0.41667,Yes
0.09695,0.30849,0.40926999999999997,0.30055,0.35714,0.4,0.41811000000000004,0.39876999999999996,?,?,No
0.12752,0.09863,0.27676999999999996,0.14222,0.28570999999999996,0.26666999999999996,0.47165,0.38242,?,0.25192,No
0.037880000000000004,0.31879,0.39423,0.26765,0.5,?,0.41591000000000006,0.38684,0.40375,?,No
0.29131999999999997,0.1442,0.5192100000000001,0.31984,0.57143,0.46667,?,0.36036999999999997,0.42871000000000004,?,No
0.29855,?,0.48571000000000003,?,0.64286,0.33333,0.43868999999999997,0.34381,?,0.31538,No
?,?,?,0.50264,0.71429,0.6,0.4485,0.40638,0.43046999999999996,0.37435999999999997,No
0.17028,0.17019,0.58512,0.3293,0.71429,0.33333,0.58717,?,0.51739,0.43654,No
?,0.2376,0.52987,0.39676999999999996,?,0.46667,0.43745,0.39149,?,0.33974,No
0.19128,0.0,0.43073,0.26145,0.28570999999999996,0.13333,?,0.37115,0.37732,0.1859,No
0.20305,?,0.49322,0.33985,0.64286,0.53333,0.52455,0.41008999999999995,?,0.47756000000000004,No
0.06614,?,?,0.21095999999999998,?,?,0.46552,?,0.44492,?,No
0.02541,?,?,?,0.5,?,?,0.31079,0.34509,0.49103,No
0.55703,0.0,?,0.62205,0.57143,0.53333,0.45912,0.45903,0.4603,?,No
0.18814,?,0.48696000000000006,?,?,0.46667,?,0.37217,?,0.32372,No
?,?,?,0.33299,0.71429,0.46667,?,0.39601,?,0.43333,No
0.27181,0.07272999999999999,0.3286,0.21334,?,?,0.43201999999999996,0.31363,?,?,No
0.28288,0.15138,0.4567,0.32792,0.57143,0.4,0.45206999999999997,?,0.41748,?,No
?,0.20565999999999998,?,0.28279,0.5,?,0.40876999999999997,0.34645,0.38142,0.33205,No
0.10394,0.15170999999999998,0.35333000000000003,?,?,0.46667,?,0.31146,?,0.43396999999999997,No
?,?,?,0.36838000000000004,0.57143,?,0.44031000000000003,0.38952,?,0.5423100000000001,No
0.27347,0.07252,?,0.23443000000000003,?,0.4,0.12692,0.01013,0.07397999999999999,0.23205,No
0.14007999999999998,0.34668000000000004,0.56725,0.4253,0.5,?,0.5059100000000001,0.42288000000000003,0.46938,?,No
0.17442,0.16188,?,0.34074,0.57143,?,0.5029,0.38526,0.45056999999999997,0.47563999999999995,Yes
0.40394,?,0.69813,0.61298,0.64286,?,?,?,0.55509,0.40769,No
0.16962,?,0.59148,0.33263000000000004,0.71429,0.4,?,?,0.5290600000000001,0.55385,No
0.18174,0.18273,0.40833,0.27171,0.5,?,0.45242,0.35835,0.41071,?,No
0.28848,?,0.45253999999999994,0.29751,0.5,0.33333,?,?,0.38484,0.26795,No
0.27626,?,0.5987399999999999,0.36011,?,?,?,0.41825,?,0.3391,No
?,0.13798,0.42358,0.31895,0.5,0.46667,0.38672,0.33704,0.36508,?,No
?,0.25698000000000004,0.5410699999999999,0.37949,0.57143,0.46667,0.53737,?,?,?,No
0.11590999999999999,0.22068000000000002,0.42573999999999995,0.25440999999999997,0.5,0.33333,?,0.38169000000000003,?,?,No
0.38447,0.1252,0.57297,0.38169000000000003,0.5,0.4,?,0.39626,?,0.325,No
0.08765,0.28923000000000004,0.25224,0.23355,0.42857,0.26666999999999996,0.33061,0.36286999999999997,?,0.43268999999999996,No
0.34134000000000003,?,0.4916,?,0.5,0.33333,0.45307,?,0.43968999999999997,0.31218,No
0.06837,0.33841,?,0.24174,0.5,0.26666999999999996,0.48016000000000003,?,0.43521000000000004,0.40128,No
0.1737,?,0.49661000000000005,0.3233,0.71429,0.53333,?,0.41186999999999996,0.45995,0.47372,No
0.41123999999999994,?,?,0.7167,0.71429,0.6,0.6793600000000001,0.65022,0.66787,0.59167,Yes
0.1425,0.18894,0.5138,0.34635,0.57143,?,0.45126000000000005,0.38522,0.42233000000000004,0.41795,No
0.18507,0.23818000000000003,?,0.36780999999999997,0.71429,0.53333,0.52113,0.41152,0.47251000000000004,0.53718,No
?,0.18308,?,0.46585,0.57143,0.46667,0.44937,?,0.40965,0.46346000000000004,No
0.22280999999999998,0.45953999999999995,0.56898,?,?,?,0.5108,?,0.50316,0.45064,Yes
?,0.22594,0.5657300000000001,?,0.85714,?,0.4812,?,?,0.5641,Yes
0.15154,0.1594,0.53015,0.26199,0.78571,0.4,0.54418,0.37965,0.47057,0.40064,No
0.27609,0.19133,0.50476,0.34063000000000004,0.5,0.4,0.42928999999999995,?,0.40443,0.38654,No
0.24478000000000003,0.1767,?,0.30396999999999996,?,0.4,?,0.33005,?,0.30769,No
?,0.32038,0.41991000000000006,0.28434,0.5,0.26666999999999996,?,?,?,?,No
0.14146,0.1556,0.36914,0.26855,0.35714,0.4,0.38783,0.31956,?,0.27308000000000004,No
0.25995,0.14476,?,0.33593,0.5,0.4,0.46371999999999997,?,?,0.2891,No
0.18267,0.21977,0.40345,0.31094,0.57143,?,0.42928,0.35415,?,0.45321000000000006,No
0.21456,?,0.5073,0.41577,0.64286,0.66667,?,?,0.4568,0.63718,No
?,0.19555,0.4354,?,0.42857,?,?,?,0.42923,0.36218,No
0.15586,0.25424,0.58713,0.38334,0.64286,0.46667,0.52587,0.40297,0.47118999999999994,?,Yes
0.25278,0.26342,0.41686999999999996,0.32566999999999996,?,?,0.47373999999999994,?,0.43007,0.29551,No
0.19727,0.24411999999999998,0.45316999999999996,0.36386,0.64286,0.4,?,0.38747,0.39679000000000003,0.41473999999999994,No
0.16844,?,0.44758000000000003,?,0.64286,?,0.41231,0.39331,0.40473000000000003,?,No
0.18985,0.21927,0.40931,0.32522,0.42857,?,0.44504,0.38276,0.41781,0.41986999999999997,No
?,0.26807,0.35120999999999997,0.23546,0.35714,0.33333,?,?,0.37742,0.39487,No
?,0.17986,0.5421199999999999,0.36701,0.64286,?,?,0.40844,0.46274,0.44359,No
0.18685,0.2114,?,0.32693,0.71429,0.46667,0.49616000000000005,0.38858000000000004,0.4484,0.42691999999999997,No
?,0.16254000000000002,0.38891,0.17769000000000001,0.57143,0.33333,0.42483000000000004,0.35925,0.39604,?,No
0.047369999999999995,0.37128,?,?,0.42857,?,?,0.39400999999999997,0.4117,?,No
0.47522,?,0.5494600000000001,0.4608,0.57143,0.46667,0.47166,0.41741000000000006,0.44816999999999996,0.39936,Yes
0.20093,0.29386,0.5329699999999999,?,0.5,0.33333,?,0.46746000000000004,0.5352,0.39808000000000004,No
0.02253,?,0.47794,0.21408000000000002,?,0.2,?,?,0.45316999999999996,0.40385,No
?,0.09504,0.37492,?,?,?,0.47671,0.28997,0.39278,0.32115,No
0.20588,0.17570999999999998,0.5885699999999999,0.32056999999999997,?,0.46667,0.49411000000000005,?,0.44254,?,No
0.15118,0.19809000000000002,0.5532,0.2602,0.64286,0.4,0.57814,0.39832,0.49763999999999997,?,No
0.1438,0.26692,0.26249,?,?,0.4,0.33481,?,?,0.46538,No
?,?,0.26432,0.10395,0.42857,0.13333,0.45233,0.30867,0.38799,0.22691999999999998,No
?,0.06855,?,0.13479000000000002,0.28570999999999996,0.2,0.43366000000000005,0.32572,0.38556999999999997,0.16795,No
0.13223,?,?,0.30493000000000003,0.57143,?,0.44913000000000003,?,0.4108,0.47563999999999995,No
0.21998,0.20851,0.45503999999999994,0.29871,0.64286,0.4,0.42181,?,0.38639,0.41667,No
?,?,0.46045,0.28870999999999997,0.57143,0.46667,0.47226,0.35936,?,0.3359,No
0.14544,?,?,0.33716,0.42857,0.4,0.44414,0.39901,0.42473,?,No
0.23819,0.17808,?,0.36930999999999997,0.64286,0.6,?,0.39161,0.44893,?,No
0.03936,0.32006999999999997,0.51578,0.2809,0.71429,0.46667,0.48466000000000004,0.39746,0.44616000000000006,0.47821,No
0.26955,?,0.56406,0.32711,0.78571,0.46667,0.53279,0.39547,0.47156000000000003,0.34295,No
0.14845999999999998,0.19684000000000001,0.33451,?,0.71429,?,?,0.28903,?,0.34551,No
0.05632,0.33105999999999997,0.38371,?,0.5,?,0.39602,?,0.38641,0.48396999999999996,No
0.21418,?,0.5596,0.42603,0.5,0.4,0.5251600000000001,0.455,0.49455,?,No
0.44078,0.09091,0.63776,0.50459,?,0.4,?,?,?,0.28269,No
0.22409,0.34386,0.57693,?,0.57143,0.46667,0.53766,0.46875,0.50765,?,No
?,0.35844000000000004,0.51347,0.36093000000000003,0.5,0.33333,0.50664,0.42211000000000004,0.46942,0.39487,No
0.27912,0.11102000000000001,?,0.35262,0.57143,0.33333,0.44025,0.43643000000000004,0.43968,0.34551,No
0.13517,0.21506,0.36914,0.20204,0.35714,0.26666999999999996,0.43221000000000004,0.32364,?,?,No
0.01715,?,0.34074,0.28686999999999996,0.42857,0.46667,0.36484,0.35152,0.35973,0.42308,No
0.21076999999999999,?,0.4118,?,0.64286,0.53333,?,0.32073,0.35101,?,No
0.31913,0.23976999999999998,0.55157,?,0.71429,0.6,0.5444399999999999,?,?,0.64615,No
0.27118000000000003,0.28395,?,?,0.85714,0.53333,0.58697,?,0.55509,?,No
0.10421,0.25791,0.46774,0.26166,?,0.4,0.52751,?,0.48843000000000003,0.42244,No
0.15361,0.38017,0.5387,0.42549,0.42857,0.4,0.59475,0.56967,0.5848899999999999,0.45705,No
0.15995,0.16801,0.38403000000000004,0.25035,0.57143,0.46667,?,0.32454,?,0.4359,No
0.15718,0.02431,0.33660999999999996,0.16274,?,0.33333,?,0.33516999999999997,?,?,No
0.28398,0.19913,0.53633,?,0.5,0.46667,0.47562,0.38961999999999997,?,?,No
?,0.16924,?,0.26749,0.64286,0.4,?,?,0.49385,0.33718000000000004,No
?,?,?,0.41163999999999995,0.64286,?,0.42988000000000004,0.38292,0.4096,0.58205,Yes
0.2381,0.25951,?,0.38348000000000004,?,0.6,0.5324800000000001,0.42472,0.48473,0.57372,Yes
?,0.1896,0.33743,0.16318,0.42857,0.26666999999999996,?,0.32437,0.37358,0.25577,No
?,0.16953,0.51947,0.37655,?,?,?,0.38643,0.45602,0.4,No
0.37692,0.0965,0.48571000000000003,0.35536999999999996,0.5,?,0.44498999999999994,?,0.4102,?,No
0.06562,0.3248,0.3782,0.29572,0.28570999999999996,0.26666999999999996,0.43901999999999997,0.41516000000000003,0.4293,0.27885,No
?,0.04311,0.4076,0.31849,0.35714,0.26666999999999996,0.43191999999999997,0.35731,?,0.28269,No
0.10627,0.21040999999999999,?,0.19785999999999998,0.42857,?,0.4551,?,0.41739,0.37051,No
0.34561,?,0.48041999999999996,?,0.64286,0.6,0.39702,?,0.37932,0.41731,No
?,0.09693,0.40851,0.15359,?,0.33333,0.52776,0.33033,0.43909,0.34038,No
?,0.23972,0.3335,?,?,0.4,0.39910999999999996,0.36963,0.38672,0.39103000000000004,No
0.13417,?,0.5103,0.34785,0.64286,0.4,0.45968000000000003,0.39915,?,?,No
?,?,0.47203,?,?,0.26666999999999996,0.4445,0.34628000000000003,0.40087,0.29615,No
0.39958,0.29668,?,0.49977,0.71429,0.66667,0.57076,0.50146,0.54066,0.49038000000000004,Yes
?,?,0.32815,0.30537,0.35714,?,0.37055,0.34939000000000003,?,0.34167,No
0.05222,0.36002,0.32488,?,?,?,0.36993000000000004,0.37576,?,0.47756000000000004,No
?,0.14784,?,0.26591,0.64286,0.4,0.52742,0.43954,0.48873,?,No
